index,occupation,energy_Eh,energy_eV,irrep
1314,0.0,3.743184,101.8572,
1315,0.0,3.747349,101.9705,
1316,0.0,3.758495,102.2739,
1317,0.0,3.760993,102.3418,
1318,0.0,3.76956,102.5749,
1319,0.0,3.774889,102.72,
1320,0.0,3.778039,102.8057,
1321,0.0,3.787295,103.0575,
1322,0.0,3.789686,103.1226,
1323,0.0,3.791808,103.1804,
1324,0.0,3.796522,103.3086,
1325,0.0,3.798925,103.374,
1326,0.0,3.80311,103.4879,
1327,0.0,3.806025,103.5672,
1328,0.0,3.810643,103.6929,
1329,0.0,3.816501,103.8523,
1330,0.0,3.818442,103.9051,
1331,0.0,3.822514,104.0159,
1332,0.0,3.828543,104.1799,
1333,0.0,3.830403,104.2306,
1334,0.0,3.835962,104.3818,
1335,0.0,3.839934,104.4899,
1336,0.0,3.844658,104.6185,
1337,0.0,3.849267,104.7439,
1338,0.0,3.856549,104.942,
1339,0.0,3.859335,105.0179,
1340,0.0,3.863625,105.1346,
1341,0.0,3.866003,105.1993,
1342,0.0,3.86911,105.2838,
1343,0.0,3.874703,105.436,
1344,0.0,3.879458,105.5654,
1345,0.0,3.882899,105.659,
1346,0.0,3.887103,105.7735,
1347,0.0,3.892346,105.9161,
1348,0.0,3.897346,106.0522,
1349,0.0,3.907054,106.3163,
1350,0.0,3.908282,106.3498,
1351,0.0,3.912266,106.4582,
1352,0.0,3.921269,106.7031,
1353,0.0,3.923703,106.7694,
1354,0.0,3.927254,106.866,
1355,0.0,3.930689,106.9595,
1356,0.0,3.93702,107.1318,
1357,0.0,3.942263,107.2744,
1358,0.0,3.946468,107.3889,
1359,0.0,3.952369,107.5494,
1360,0.0,3.956025,107.6489,
1361,0.0,3.963479,107.8517,
1362,0.0,3.969746,108.0223,
1363,0.0,3.971799,108.0781,
1364,0.0,3.976347,108.2019,
1365,0.0,3.980825,108.3238,
1366,0.0,3.986793,108.4862,
1367,0.0,3.999859,108.8417,
1368,0.0,4.007349,109.0455,
1369,0.0,4.01087,109.1413,
1370,0.0,4.017386,109.3186,
1371,0.0,4.018555,109.3504,
1372,0.0,4.023473,109.4843,
1373,0.0,4.027546,109.5951,
1374,0.0,4.032134,109.7199,
1375,0.0,4.039159,109.9111,
1376,0.0,4.048635,110.169,
1377,0.0,4.048911,110.1765,
1378,0.0,4.053517,110.3018,
1379,0.0,4.056679,110.3879,
1380,0.0,4.062762,110.5534,
1381,0.0,4.066514,110.6555,
1382,0.0,4.075837,110.9092,
1383,0.0,4.080407,111.0335,
1384,0.0,4.081784,111.071,
1385,0.0,4.086355,111.1954,
1386,0.0,4.093005,111.3763,
1387,0.0,4.096095,111.4604,
1388,0.0,4.106293,111.7379,
1389,0.0,4.112149,111.8973,
1390,0.0,4.118643,112.074,
1391,0.0,4.122325,112.1742,
1392,0.0,4.12761,112.318,
1393,0.0,4.141693,112.7012,
1394,0.0,4.144494,112.7774,
1395,0.0,4.147368,112.8556,
1396,0.0,4.159572,113.1877,
1397,0.0,4.164597,113.3244,
1398,0.0,4.16822,113.423,
1399,0.0,4.169722,113.4639,
1400,0.0,4.178522,113.7034,
