index,occupation,energy_Eh,energy_eV,irrep
282,0.0,0.341283,9.2868,
283,0.0,0.347192,9.4476,
284,0.0,0.347207,9.448,
285,0.0,0.347225,9.4485,
286,0.0,0.3619,9.8478,
287,0.0,0.361909,9.848,
288,0.0,0.362186,9.8556,
289,0.0,0.362187,9.8556,
290,0.0,0.362199,9.8559,
291,0.0,0.363091,9.8802,
292,0.0,0.363094,9.8803,
293,0.0,0.363101,9.8805,
294,0.0,0.36723,9.9928,
295,0.0,0.367326,9.9954,
296,0.0,0.367364,9.9965,
297,0.0,0.367484,9.9997,
298,0.0,0.367532,10.0011,
299,0.0,0.382448,10.4069,
300,0.0,0.382489,10.4081,
301,0.0,0.3825,10.4083,
302,0.0,0.382508,10.4086,
303,0.0,0.382521,10.4089,
304,0.0,0.388922,10.5831,
305,0.0,0.38908,10.5874,
306,0.0,0.389099,10.5879,
307,0.0,0.3893,10.5934,
308,0.0,0.389392,10.5959,
309,0.0,0.393671,10.7123,
310,0.0,0.394292,10.7292,
311,0.0,0.395011,10.7488,
312,0.0,0.395569,10.764,
313,0.0,0.395844,10.7715,
314,0.0,0.396757,10.7963,
315,0.0,0.397585,10.8188,
316,0.0,0.404767,11.0143,
317,0.0,0.40477,11.0143,
318,0.0,0.404776,11.0145,
319,0.0,0.423075,11.5125,
320,0.0,0.423136,11.5141,
321,0.0,0.423156,11.5147,
322,0.0,0.423212,11.5162,
323,0.0,0.451382,12.2827,
324,0.0,0.451386,12.2828,
325,0.0,0.451388,12.2829,
326,0.0,0.462508,12.5855,
327,0.0,0.462513,12.5856,
328,0.0,0.462519,12.5858,
329,0.0,0.462521,12.5858,
330,0.0,0.462523,12.5859,
331,0.0,0.47234,12.853,
332,0.0,0.472345,12.8532,
333,0.0,0.472348,12.8532,
334,0.0,0.472364,12.8537,
335,0.0,0.475858,12.9487,
336,0.0,0.475863,12.9489,
337,0.0,0.475864,12.9489,
338,0.0,0.47587,12.9491,
339,0.0,0.475879,12.9493,
340,0.0,0.475943,12.9511,
341,0.0,0.476401,12.9635,
342,0.0,0.47698,12.9793,
343,0.0,0.477569,12.9953,
344,0.0,0.477575,12.9955,
345,0.0,0.477578,12.9955,
346,0.0,0.487194,13.2572,
347,0.0,0.487211,13.2577,
348,0.0,0.487213,13.2577,
349,0.0,0.487233,13.2583,
350,0.0,0.487247,13.2587,
351,0.0,0.518057,14.0971,
352,0.0,0.518173,14.1002,
353,0.0,0.518421,14.107,
354,0.0,0.51865,14.1132,
355,0.0,0.532361,14.4863,
356,0.0,0.532368,14.4865,
357,0.0,0.532379,14.4868,
358,0.0,0.532533,14.491,
359,0.0,0.533336,14.5128,
360,0.0,0.533347,14.5131,
361,0.0,0.533377,14.5139,
362,0.0,0.53517,14.5627,
363,0.0,0.535207,14.5637,
364,0.0,0.535213,14.5639,
365,0.0,0.540786,14.7155,
366,0.0,0.54079,14.7156,
367,0.0,0.540794,14.7158,
