from_state_label,from_root,from_state_suffix,to_state_label,to_root,to_state_suffix,energy_eV,energy_cm1,wavelength_nm,oscillator_strength,velocity_strength_au2,px_au,py_au,pz_au,center_of_mass_x,center_of_mass_y,center_of_mass_z
0-1A,0,1A,30-1A,30,1A,6.78976,54763.1,182.6,0.224295526,0.08395,-0.2063,-0.15173,0.13553,1.6455,8.6501,-2.3975
0-1A,0,1A,26-1A,26,1A,6.789803,54763.5,182.6,0.00451301,0.00169,-0.02347,-0.00878,0.03258,1.6455,8.6501,-2.3975
0-1A,0,1A,31-1A,31,1A,6.80705,54902.6,182.1,0.035421048,0.01329,0.07638,-0.04487,0.07378,1.6455,8.6501,-2.3975
0-1A,0,1A,33-1A,33,1A,6.821498,55019.1,181.8,0.067652706,0.02544,-0.01886,0.10275,-0.12052,1.6455,8.6501,-2.3975
0-1A,0,1A,45-1A,45,1A,6.829618,55084.6,181.5,0.00414485,0.00156,0.01761,-0.03137,-0.01633,1.6455,8.6501,-2.3975
0-1A,0,1A,36-1A,36,1A,6.855689,55294.9,180.8,0.015799409,0.00597,-0.04547,-0.0612,0.01255,1.6455,8.6501,-2.3975
0-1A,0,1A,38-1A,38,1A,6.869284,55404.5,180.5,0.11823528,0.04477,0.14246,0.00486,-0.15637,1.6455,8.6501,-2.3975
0-1A,0,1A,35-1A,35,1A,6.919514,55809.6,179.2,0.005873389,0.00224,0.01867,-0.03261,0.02878,1.6455,8.6501,-2.3975
0-1A,0,1A,39-1A,39,1A,6.933479,55922.3,178.8,0.060299613,0.02305,0.10736,-0.04451,-0.09767,1.6455,8.6501,-2.3975
0-1A,0,1A,37-1A,37,1A,6.937095,55951.4,178.7,0.054652971,0.0209,0.12405,-0.03699,-0.06437,1.6455,8.6501,-2.3975
0-1A,0,1A,43-1A,43,1A,6.969995,56216.8,177.9,0.031141626,0.01197,0.10349,0.02991,-0.01897,1.6455,8.6501,-2.3975
0-1A,0,1A,44-1A,44,1A,7.030965,56708.6,176.3,0.010089143,0.00391,-0.02373,0.02097,0.05392,1.6455,8.6501,-2.3975
0-1A,0,1A,40-1A,40,1A,7.126805,57481.6,174.0,0.001472617,0.00058,-0.01991,-0.00423,-0.01281,1.6455,8.6501,-2.3975
0-1A,0,1A,41-1A,41,1A,7.15667,57722.4,173.2,0.016846324,0.00665,-0.07574,0.01601,0.02554,1.6455,8.6501,-2.3975
0-1A,0,1A,60-1A,60,1A,7.239692,58392.1,171.3,0.003026024,0.00121,-0.01539,-0.02513,0.01842,1.6455,8.6501,-2.3975
0-1A,0,1A,57-1A,57,1A,7.244559,58431.3,171.1,0.042786145,0.01709,0.07429,-0.06086,0.08868,1.6455,8.6501,-2.3975
0-1A,0,1A,54-1A,54,1A,7.272918,58660.0,170.5,0.015641998,0.00627,-0.06452,-0.03099,-0.03388,1.6455,8.6501,-2.3975
0-1A,0,1A,49-1A,49,1A,7.294252,58832.1,170.0,0.015233877,0.00613,0.06978,-0.0168,-0.03121,1.6455,8.6501,-2.3975
0-1A,0,1A,46-1A,46,1A,7.30281,58901.1,169.8,0.018506809,0.00745,0.08538,0.01093,-0.00637,1.6455,8.6501,-2.3975
0-1A,0,1A,50-1A,50,1A,7.323356,59066.9,169.3,0.007803007,0.00315,0.00109,0.04265,-0.03647,1.6455,8.6501,-2.3975
0-1A,0,1A,58-1A,58,1A,7.333908,59152.0,169.1,0.000761453,0.00031,-0.01564,-0.00229,0.00761,1.6455,8.6501,-2.3975
0-1A,0,1A,55-1A,55,1A,7.371524,59455.4,168.2,0.026451284,0.01075,0.10359,-0.00207,-0.0036,1.6455,8.6501,-2.3975
0-1A,0,1A,51-1A,51,1A,7.376265,59493.6,168.1,0.006564899,0.00267,-0.03156,0.03396,-0.02281,1.6455,8.6501,-2.3975
0-1A,0,1A,52-1A,52,1A,7.386862,59579.1,167.8,0.013785563,0.00561,-0.0396,-0.03193,0.05501,1.6455,8.6501,-2.3975
0-1A,0,1A,67-1A,67,1A,7.426222,59896.5,167.0,0.003670498,0.0015,-0.02702,0.00079,-0.02778,1.6455,8.6501,-2.3975
0-1A,0,1A,48-1A,48,1A,7.437449,59987.1,166.7,0.037943031,0.01556,0.09999,0.03773,0.0643,1.6455,8.6501,-2.3975
0-1A,0,1A,56-1A,56,1A,7.456578,60141.4,166.3,0.009170142,0.00377,-0.05003,0.03558,-0.00059,1.6455,8.6501,-2.3975
0-1A,0,1A,64-1A,64,1A,7.486905,60386.0,165.6,0.019654292,0.00811,0.02949,-0.00216,0.08507,1.6455,8.6501,-2.3975
