block_index,method,manifold,order_in_block,state,state_label,symmetry,energy_au,energy_eV,energy_cm1,wavelength_nm,s_squared,multiplicity,dominant_from_orbital,dominant_to_orbital,dominant_weight,dominant_coefficient
6,TD-DFT/TDA,SINGLETS,6,6,,,0.196378,5.344,43100.1,232.0180231600391,0.0,1,162a,172a,0.259156,0.50907355
6,TD-DFT/TDA,SINGLETS,7,7,,,0.19881,5.41,43633.7,229.1806562358911,0.0,1,167a,170a,0.285697,-0.53450666
6,TD-DFT/TDA,SINGLETS,8,8,,,0.201238,5.476,44166.6,226.41543609877147,0.0,1,169a,171a,0.644184,0.80261092
6,TD-DFT/TDA,SINGLETS,9,9,,,0.205329,5.587,45064.6,221.90366718000382,0.0,1,169a,176a,0.365759,0.60477994
7,TD-DFT/TDA,SINGLETS,1,1,,,0.127496,3.469,27982.1,357.3713195221231,0.0,1,169a,170a,0.93078,0.96476914
7,TD-DFT/TDA,SINGLETS,2,2,,,0.166211,4.523,36479.1,274.12957008259525,0.0,1,169a,172a,0.789342,-0.88844933
7,TD-DFT/TDA,SINGLETS,3,3,,,0.174636,4.752,38328.1,260.90518444692015,0.0,1,169a,173a,0.56367,-0.75077992
7,TD-DFT/TDA,SINGLETS,4,4,,,0.178382,4.854,39150.4,255.42523192611057,0.0,1,168a,171a,0.746002,0.86371429
7,TD-DFT/TDA,SINGLETS,5,5,,,0.184734,5.027,40544.4,246.64318623533705,0.0,1,169a,177a,0.32835,0.57301867
7,TD-DFT/TDA,SINGLETS,6,6,,,0.194385,5.289,42662.5,234.39789041898624,0.0,1,162a,172a,0.260643,-0.51053176
7,TD-DFT/TDA,SINGLETS,7,7,,,0.195515,5.32,42910.5,233.04319455611096,0.0,1,167a,170a,0.365594,0.60464402
7,TD-DFT/TDA,SINGLETS,8,8,,,0.200031,5.443,43901.8,227.7810932581352,0.0,1,169a,171a,0.720292,0.8487002
7,TD-DFT/TDA,SINGLETS,9,9,,,0.20208,5.499,44351.5,225.47151731057573,0.0,1,169a,176a,0.546535,-0.73927997
8,TD-DFT/TDA,SINGLETS,1,1,,,0.126181,3.434,27693.6,361.09426004564233,0.0,1,169a,170a,0.932627,0.96572626
8,TD-DFT/TDA,SINGLETS,2,2,,,0.166947,4.543,36640.6,272.9212949569603,0.0,1,169a,172a,0.787965,0.8876742
8,TD-DFT/TDA,SINGLETS,3,3,,,0.173453,4.72,38068.6,262.6836815643339,0.0,1,169a,173a,0.594078,0.77076429
8,TD-DFT/TDA,SINGLETS,4,4,,,0.178342,4.853,39141.5,255.48331055273815,0.0,1,168a,171a,0.756868,-0.86998174
8,TD-DFT/TDA,SINGLETS,5,5,,,0.185374,5.044,40684.9,245.79143613478217,0.0,1,169a,177a,0.315775,-0.56193854
8,TD-DFT/TDA,SINGLETS,6,6,,,0.194449,5.291,42676.7,234.31989821143623,0.0,1,162a,172a,0.271752,-0.52129871
8,TD-DFT/TDA,SINGLETS,7,7,,,0.19587,5.33,42988.6,232.61981083356983,0.0,1,167a,170a,0.32493,0.57002651
8,TD-DFT/TDA,SINGLETS,8,8,,,0.200565,5.458,44018.9,227.17514522171157,0.0,1,169a,171a,0.74559,-0.86347539
8,TD-DFT/TDA,SINGLETS,9,9,,,0.203424,5.535,44646.5,223.98172309139574,0.0,1,169a,176a,0.467326,-0.68361246
9,TD-DFT/TDA,SINGLETS,1,1,,,0.129591,3.526,28441.9,351.59395117766394,0.0,1,169a,170a,0.930446,0.96459653
9,TD-DFT/TDA,SINGLETS,2,2,,,0.168642,4.589,37012.7,270.17753365736627,0.0,1,169a,172a,0.787009,0.88713542
9,TD-DFT/TDA,SINGLETS,3,3,,,0.174538,4.749,38306.6,261.0516203474075,0.0,1,169a,173a,0.607858,-0.77965259
9,TD-DFT/TDA,SINGLETS,4,4,,,0.178281,4.851,39128.2,255.57015145087178,0.0,1,168a,171a,0.766894,0.87572501
9,TD-DFT/TDA,SINGLETS,5,5,,,0.186845,5.084,41007.8,243.85604689839494,0.0,1,169a,177a,0.326266,0.57119693
9,TD-DFT/TDA,SINGLETS,6,6,,,0.195031,5.307,42804.3,233.62138850536041,0.0,1,162a,172a,0.290533,-0.53901153
9,TD-DFT/TDA,SINGLETS,7,7,,,0.197919,5.386,43438.3,230.2115874700437,0.0,1,169a,176a,0.256763,-0.5067177
9,TD-DFT/TDA,SINGLETS,8,8,,,0.202031,5.498,44340.7,225.52643508108804,0.0,1,169a,171a,0.744868,0.86305724
9,TD-DFT/TDA,SINGLETS,9,9,,,0.204796,5.573,44947.5,222.4817843039101,0.0,1,169a,176a,0.375446,-0.61273685
10,TD-DFT/TDA,SINGLETS,1,1,,,0.12626,3.436,27710.8,360.8701300575949,0.0,1,169a,170a,0.932835,0.96583359
10,TD-DFT/TDA,SINGLETS,2,2,,,0.168149,4.576,36904.5,270.9696649460093,0.0,1,169a,172a,0.790374,-0.88902996
10,TD-DFT/TDA,SINGLETS,3,3,,,0.172896,4.705,37946.2,263.5309991514302,0.0,1,169a,173a,0.613566,0.78330484
10,TD-DFT/TDA,SINGLETS,4,4,,,0.178204,4.849,39111.4,255.67992963688334,0.0,1,168a,171a,0.76866,-0.87673233
10,TD-DFT/TDA,SINGLETS,5,5,,,0.186389,5.072,40907.7,244.45275583814296,0.0,1,169a,177a,0.28657,0.53532261
10,TD-DFT/TDA,SINGLETS,6,6,,,0.195109,5.309,42821.5,233.52755041275995,0.0,1,162a,172a,0.283927,0.53284762
10,TD-DFT/TDA,SINGLETS,7,7,,,0.197517,5.375,43349.9,230.6810396333094,0.0,1,167a,170a,0.286424,0.5351858
10,TD-DFT/TDA,SINGLETS,8,8,,,0.201305,5.478,44181.3,226.34010316581902,0.0,1,169a,171a,0.73379,0.8566153
10,TD-DFT/TDA,SINGLETS,9,9,,,0.203922,5.549,44755.7,223.4352272447979,0.0,1,165a,170a,0.40397,0.63558657
11,TD-DFT/TDA,SINGLETS,1,1,,,0.125507,3.415,27545.6,363.0343866171004,0.0,1,169a,170a,0.932973,-0.9659052
11,TD-DFT/TDA,SINGLETS,2,2,,,0.167424,4.556,36745.2,272.1443889269891,0.0,1,169a,172a,0.793517,0.8907957
11,TD-DFT/TDA,SINGLETS,3,3,,,0.172726,4.7,37909.0,263.78960141391224,0.0,1,169a,173a,0.618514,-0.78645677
11,TD-DFT/TDA,SINGLETS,4,4,,,0.178363,4.853,39146.1,255.45328908882368,0.0,1,168a,171a,0.763702,0.87390058
11,TD-DFT/TDA,SINGLETS,5,5,,,0.185814,5.056,40781.4,245.20982604814938,0.0,1,169a,177a,0.309642,-0.5564549
11,TD-DFT/TDA,SINGLETS,6,6,,,0.194851,5.302,42764.9,233.83662770168993,0.0,1,162a,172a,0.282102,-0.53113233
11,TD-DFT/TDA,SINGLETS,7,7,,,0.196449,5.346,43115.5,231.93515093179946,0.0,1,167a,170a,0.292914,-0.54121512
11,TD-DFT/TDA,SINGLETS,8,8,,,0.201077,5.472,44131.2,226.5970560510478,0.0,1,169a,171a,0.758192,-0.8707421
11,TD-DFT/TDA,SINGLETS,9,9,,,0.203905,5.549,44752.0,223.45370039327852,0.0,1,165a,170a,0.252899,-0.50289074
12,TD-DFT/TDA,SINGLETS,1,1,,,0.126437,3.441,27749.7,360.364256190157,0.0,1,169a,170a,0.931922,0.96536122
12,TD-DFT/TDA,SINGLETS,2,2,,,0.166792,4.539,36606.6,273.17478268946036,0.0,1,169a,172a,0.790222,-0.88894449
12,TD-DFT/TDA,SINGLETS,3,3,,,0.173069,4.709,37984.2,263.2673585332849,0.0,1,169a,173a,0.618045,0.7861586
